| Lib                                 | Licence                     | Indispensable | Utilisé pour                      | Modifié          | Site                                                                                                                           |
|-------------------------------------+-----------------------------+---------------+-----------------------------------+------------------+--------------------------------------------------------------------------------------------------------------------------------|
| jQuery                              | MIT/GPL                     | X             | js                                |                  | http://jquery.com                                                                                                              |
| jQueryUI                            | MIT/GPL                     | X             | js gui                            |                  | http://jqueryui.com                                                                                                            |
| Amber                               | MIT                         | -             | bib numérique                     |                  | http://amber-lang.net/                                                                                                         |
| Zend Framework                      | New BSD                     | X             |                                   | X (pour PHP 5.3) | http://framework.zend.com/                                                                                                     |
| Bluga WebThumb                      | LGPL 2.1                    | -             | sitothèque                        |                  | https://github.com/jeichorn/Bluga.net-Webthumb-API-for-PHP/                                                                    |
| Booklet (jQuery Plugin)             | MIT/GPL                     | -             | bib numérique                     | X                | http://builtbywill.com/code/booklet/                                                                                           |
| iViewer (jQuery Plugin)             | MIT/GPL                     | -             | bib numérique                     | X                | https://github.com/can3p/iviewer                                                                                               |
| ThumbLib / PhpThumb                 | GPL                         |               |                                   |                  | http://phpthumb.sourceforge.net/                                                                                               |
| Simple color picker (jQuery Plugin) | ?                           | X             | formulaires, sélection couleur    |                  | http://vreboton.blogspot.fr/2010/01/simple-color-picker-jquery-color-picker.html                                               |
| CkEditor                            | GPL/LGPL/MPL                | X             | CMS / Formations / bib num        |                  | http://ckeditor.com/                                                                                                           |
| C5 FileManager                      | MIT                         | X             | CMS                               | X                | http://labs.corefive.com/projects/filemanager/                                                                                 |
| PrettyPhoto (js)                    | Creative C. Attribution 2.5 | X             | previews, bib num                 |                  | http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/                                                |
| Notify (jQuery plugin)              | Creative Commons ?          | -             | module formations                 |                  | http://www.greepit.com/notify/ , http://www.greepit.com/2011/07/designing-user-friendly-websites-and-applications-with-notify/ |
| Slimbox2 (jQuery plugin)            | MIT-style license (?)       | X             | photos un peu partout             |                  | http://www.digitalia.be                                                                                                        |
| Tooltip (jQuery plugin)             | MIT/GPL                     | X             | réseau bib                        |                  | http://bassistance.de/jquery-plugins/jquery-plugin-tooltip/                                                                    |
| Rating (jQuery plugin)              | MIT/GPL                     | X             | critiques                         |                  | http://www.fyneworks.com/jquery/star-rating/#tab-License                                                                       |
| File uploader (jQuery plugin)       | MIT / GPL/LGPL 2 & later    |               | bib numérique                     |                  | http://github.com/valums/file-uploader                                                                                         |
| composants flash                    | propriétaires               |               | kiosques: exclus de la version CE |                  | http://www.flashxml.net                                                                                                        |
| MooTools                            | MIT                         |               | kiosques                          |                  | http://mad4milk.net                                                                                                            |
| Prototype                           | MIT                         |               | kiosques                          |                  | http://www.prototypejs.org/                                                                                                    |
| jCarousel                           | MIT/GPL                     |               | kiosques                          |                  | http://sorgalla.com/projects/jcarousel/                                                                                        |
| jQuery Cycle                        | MIT/GPL                     | X             | CMS / bib numérique               |                  | http://jquery.malsup.com/cycle/                                                                                                |
| jMyCarousel                         | GPL V3                      |               | kiosques                          |                  | http://www.enova-tech.net/lab/jMyCarousel                                                                                      |
| Scriptaculous                       | MIT                         |               | kiosques                          |                  | http://script.aculo.us                                                                                                         |
| ProtoFlow                           | (open-terms)                |               | kiosques                          |                  | http://blog.deensoft.com                                                                                                       |
| Image SlideShow                     | LGPL                        |               | kiosques                          |                  | http://www.dhtmlgoodies.com/index.html?whichScript=image_slideshow                                                             |
| FPDF                                | MIT like                    |               |                                   |                  | http://www.fpdf.org/                                                                                                           |
| Nuvola icons                        | LGPL                        |               | icônes                            |                  | http://www.icon-king.com/projects/nuvola/                                                                                      |
| JQuery PlaceHolder plugin           | MIT/GPL                     |               | compat IE                         |                  | https://github.com/mathiasbynens/jquery-placeholder                                                                            |
| OSM Player                          | GPL v3                      |               | player multimedia                 |                  | http://mediafront.org/osmplayer/index.html#.UFB0Q3lOpw4                                                                        |



