// Site
- Tous droits réservés - Hébergement & Conception graphique;- All Rights Reserved - 
Accueil;Home
Admin;Admin
Bienvenue;Welcome
Configuration;Configuration
Entrez votre identifiant puis validez S.V.P.;Please provide a user name
Entrez votre identité S.V.P.;Please login
Erreur;Error
Identifiant;User Name
Il n'y a pas de contenu à afficher.;There is no content to display.
L'accès au site est momentanément bloqué. Essayer plus tard.;Sorry, the site is down. Try again later.
Ma belle bibliothèque;My beautiful library
Menu de navigation;Navigation Menu
Mises à jour;Update
Modules;Modules
Mot de passe incorrect;Login failed
Mot de passe oublié ?;Lost password ?
Mot de passe;Password
Non;No
Oui;Yes
Personnalisation;Customize
Problème d'accès à la base de données;Problem accessing the Database
Recherche Avancée;Advanced Search
Recherche Simple;Simple Search
Recherche avancée;Advanced search
Recherche;Search
Retour au site;Back to the site
S'enregistrer;Register
S'identifier;Login
Se connecter;Sign in
Se déconnecter;Logout
Statistiques;Statistics
Système;System
Valider;OK
Veuillez vous adresser à un responsable de la bibliothèque.;Please notify a librarian.
Votre bibliothèque;Your library
Vous n'avez pas les privilèges appropriés;You don't have the appropriate privileges
erreur;error
non;no




// User
'Numéro de carte' et 'Ordre' ne sont pas valide;'Card Number' and 'Order' are not valid
Action;Action
Ajouter Utilisateurs;Add New Users
Ajouter;Add
Annuler;Cancel
Cet identifiant existe déjà;That user name already exists
Envoyer;Submit
Gestion des utilisateurs;Manage Users
Le champ 'Identifiant' doit être inférieur à 50 caractères;'User Name' needs to be less than 50 characters long
Le champ 'Mot de passe' doit être inférieur à 50 caractères;'Password' needs to be less than 50 characters long
Le champ 'Nom' doit être inférieur à 50 caractères;'Real Name' needs to be less than 50 characters long
Modifier Utilisateurs;Modify Users
Modifier;Edit
Ne peut pas trouver l'utilisateur;Can not find the user
Nom;Name
Rôle;Role
Supprimer Utilisateurs;Delete Users
Supprimer;Delete
Texte de défaut dans l'editeur;Default text in editor
Utilisateurs;Users
Vous devez compléter le champ 'Identifiant';You need to complete the 'User Name' field
Vous devez compléter le champ 'Mot de passe';You need to complete the 'Password' field
Vous devez compléter le champ 'Nom';You need to complete the 'Real Name' field
admin;admin
invité;guest
membre;member
Êtes vous sûr que vous voulez supprimer;Are you sure that you want to delete



//CMS
Ajouter Article;Add Article
Ajouter Catégorie;Add Category
Articles;Articles
Catégorie;Category
Contenu;Content
Début;Start
Evénement;Event
Fin;End
Gestionnaire de contenu;Manage Content
La date de 'Début' n'est pas valide;'Start' date is not valid
La date de 'Evénement' n'est pas valide;'Event' date is not valid
La date de 'Fin' n'est pas valide;'End' date is not valid
La date n'est pas valide;The date is not valid
Le champ 'Nom de la catégorie' doit être inférieur à 50 caractères;'Name of the category' needs to be less than 50 characters long
Le champ 'Titre' doit être inférieur à 100 caractères;'Title' needs to be less than 100 characters long
Modifier Article;Modify Article
Modifier Catégorie;Modify Category
Nom de la catégorie;Name of the category
Supprimer Article;Delete Article
